word_id,sense_no,definition_id,definition,part_of_speech
1,0,10,"피하다, 막다",v
2,0,20,"즉각적인, 직접적인",a
3,0,30,"진가를 인정하다, 감사해하다",v
3,1,31,상황이나 문제점을 완전히 인식하다,v
4,0,40,"일행, 무리, 정당",n
5,0,50,"~관하여, ~관한",null
6,0,60,해를 끼치다,v
6,1,61,"피해, 손해",n
7,0,70,"목적, 목표",n
7,1,71,객관적인,a
8,0,80,포유 동물,n
9,0,90,잠재적으로 대단히 중요한,a
10,0,100,"귀한, 값 비싼",a
11,0,110,장애물,n
12,0,120,"의뢰, 위탁된 일을 맡은",n
13,0,130,해결하다,v
14,0,140,감추다 숨기다,v
15,0,150,"갈등, 충돌",n
16,0,160,모으다,v
17,0,170,가축,n
18,0,180,"고도의, 상급의, 선진의",a
19,0,190,열을 올리고 있는,a
20,0,200,버려진,a
21,0,210,유발하다,v
22,0,220,"주의, 주목, 관심",n
23,0,230,양보,n
23,1,231,할인,n
24,0,240,"나중을 위해 치워두다, 따로두다",v
25,0,250,대체하다,v
26,0,260,"~해야하다, ~을 할 의무가 있다",v
27,0,270,"질문, 문의",n
28,0,280,"계획, 제도",n
29,0,290,요새,n
30,0,300,기막히게 멋진,a
31,0,310,TempDefinition_31,null
32,0,320,TempDefinition_32,null
33,0,330,TempDefinition_33,null
34,0,340,TempDefinition_34,null
35,0,350,TempDefinition_35,null
36,0,360,TempDefinition_36,null
37,0,370,TempDefinition_37,null
38,0,380,TempDefinition_38,null
39,0,390,TempDefinition_39,null
40,0,400,TempDefinition_40,null
41,0,410,TempDefinition_41,null
42,0,420,TempDefinition_42,null
43,0,430,TempDefinition_43,null
44,0,440,TempDefinition_44,null
45,0,450,TempDefinition_45,null
46,0,460,TempDefinition_46,null
47,0,470,TempDefinition_47,null
48,0,480,TempDefinition_48,null
49,0,490,TempDefinition_49,null
50,0,500,TempDefinition_50,null
51,0,510,TempDefinition_51,null
52,0,520,TempDefinition_52,null
53,0,530,TempDefinition_53,null
54,0,540,TempDefinition_54,null
55,0,550,TempDefinition_55,null
56,0,560,TempDefinition_56,null
57,0,570,TempDefinition_57,null
58,0,580,TempDefinition_58,null
59,0,590,TempDefinition_59,null
60,0,600,TempDefinition_60,null
61,0,610,TempDefinition_61,null
62,0,620,TempDefinition_62,null
63,0,630,TempDefinition_63,null
64,0,640,TempDefinition_64,null
65,0,650,TempDefinition_65,null
66,0,660,TempDefinition_66,null
67,0,670,TempDefinition_67,null
68,0,680,TempDefinition_68,null
69,0,690,TempDefinition_69,null
70,0,700,TempDefinition_70,null
71,0,710,TempDefinition_71,null
72,0,720,TempDefinition_72,null
73,0,730,TempDefinition_73,null
74,0,740,TempDefinition_74,null
75,0,750,TempDefinition_75,null
76,0,760,TempDefinition_76,null
77,0,770,TempDefinition_77,null
78,0,780,TempDefinition_78,null
79,0,790,TempDefinition_79,null
80,0,800,TempDefinition_80,null
81,0,810,TempDefinition_81,null
82,0,820,TempDefinition_82,null
83,0,830,TempDefinition_83,null
84,0,840,TempDefinition_84,null
85,0,850,TempDefinition_85,null
86,0,860,TempDefinition_86,null
87,0,870,TempDefinition_87,null
88,0,880,TempDefinition_88,null
89,0,890,TempDefinition_89,null
90,0,900,TempDefinition_90,null
91,0,910,TempDefinition_91,null
92,0,920,TempDefinition_92,null
93,0,930,TempDefinition_93,null
94,0,940,TempDefinition_94,null
95,0,950,TempDefinition_95,null
96,0,960,TempDefinition_96,null
97,0,970,TempDefinition_97,null
98,0,980,TempDefinition_98,null
99,0,990,TempDefinition_99,null
100,0,1000,TempDefinition_100,null
101,0,1010,TempDefinition_101,null
102,0,1020,TempDefinition_102,null
103,0,1030,TempDefinition_103,null
104,0,1040,TempDefinition_104,null
105,0,1050,TempDefinition_105,null
106,0,1060,TempDefinition_106,null
107,0,1070,TempDefinition_107,null
108,0,1080,TempDefinition_108,null
109,0,1090,TempDefinition_109,null
110,0,1100,TempDefinition_110,null
111,0,1110,TempDefinition_111,null
112,0,1120,TempDefinition_112,null
113,0,1130,TempDefinition_113,null
114,0,1140,TempDefinition_114,null
115,0,1150,TempDefinition_115,null
116,0,1160,TempDefinition_116,null
117,0,1170,TempDefinition_117,null
118,0,1180,TempDefinition_118,null
119,0,1190,TempDefinition_119,null
120,0,1200,TempDefinition_120,null
121,0,1210,TempDefinition_121,null
122,0,1220,TempDefinition_122,null
123,0,1230,TempDefinition_123,null
124,0,1240,TempDefinition_124,null
125,0,1250,TempDefinition_125,null
126,0,1260,TempDefinition_126,null
127,0,1270,TempDefinition_127,null
128,0,1280,TempDefinition_128,null
129,0,1290,TempDefinition_129,null
130,0,1300,TempDefinition_130,null
131,0,1310,TempDefinition_131,null
132,0,1320,TempDefinition_132,null
133,0,1330,TempDefinition_133,null
134,0,1340,TempDefinition_134,null
135,0,1350,TempDefinition_135,null
136,0,1360,TempDefinition_136,null
137,0,1370,TempDefinition_137,null
138,0,1380,TempDefinition_138,null
