definition_id,word_id,sense_no,definition,part_of_speech
10,1,0,TempDefinition_10,
20,2,0,TempDefinition_20,
30,3,0,TempDefinition_30,
40,4,0,TempDefinition_40,
50,5,0,TempDefinition_50,
60,6,0,TempDefinition_60,
70,7,0,TempDefinition_70,
80,8,0,TempDefinition_80,
90,9,0,TempDefinition_90,
100,10,0,TempDefinition_100,
110,11,0,TempDefinition_110,
120,12,0,TempDefinition_120,
130,13,0,TempDefinition_130,
140,14,0,TempDefinition_140,
150,15,0,TempDefinition_150,
160,16,0,TempDefinition_160,
170,17,0,TempDefinition_170,
180,18,0,TempDefinition_180,
190,19,0,TempDefinition_190,
200,20,0,TempDefinition_200,
210,21,0,TempDefinition_210,
220,22,0,TempDefinition_220,
230,23,0,TempDefinition_230,
240,24,0,TempDefinition_240,
250,25,0,TempDefinition_250,
260,26,0,TempDefinition_260,
270,27,0,TempDefinition_270,
280,28,0,TempDefinition_280,
290,29,0,TempDefinition_290,
300,30,0,TempDefinition_300,
310,31,0,TempDefinition_310,
320,32,0,TempDefinition_320,
330,33,0,TempDefinition_330,
340,34,0,TempDefinition_340,
350,35,0,TempDefinition_350,
360,36,0,TempDefinition_360,
370,37,0,TempDefinition_370,
380,38,0,TempDefinition_380,
390,39,0,TempDefinition_390,
400,40,0,TempDefinition_400,
410,41,0,TempDefinition_410,
420,42,0,TempDefinition_420,
430,43,0,TempDefinition_430,
440,44,0,TempDefinition_440,
450,45,0,TempDefinition_450,
460,46,0,TempDefinition_460,
470,47,0,TempDefinition_470,
480,48,0,TempDefinition_480,
490,49,0,TempDefinition_490,
500,50,0,TempDefinition_500,
510,51,0,TempDefinition_510,
520,52,0,TempDefinition_520,
530,53,0,TempDefinition_530,
540,54,0,TempDefinition_540,
550,55,0,TempDefinition_550,
560,56,0,TempDefinition_560,
570,57,0,TempDefinition_570,
580,58,0,TempDefinition_580,
590,59,0,TempDefinition_590,
600,60,0,TempDefinition_600,
610,61,0,TempDefinition_610,
620,62,0,TempDefinition_620,
630,63,0,TempDefinition_630,
640,64,0,TempDefinition_640,
650,65,0,TempDefinition_650,
660,66,0,TempDefinition_660,
670,67,0,TempDefinition_670,
680,68,0,TempDefinition_680,
690,69,0,TempDefinition_690,
700,70,0,TempDefinition_700,
710,71,0,TempDefinition_710,
720,72,0,TempDefinition_720,
730,73,0,TempDefinition_730,
740,74,0,TempDefinition_740,
750,75,0,TempDefinition_750,
760,76,0,TempDefinition_760,
770,77,0,TempDefinition_770,
780,78,0,TempDefinition_780,
790,79,0,TempDefinition_790,
800,80,0,TempDefinition_800,
810,81,0,TempDefinition_810,
820,82,0,TempDefinition_820,
830,83,0,TempDefinition_830,
840,84,0,TempDefinition_840,
850,85,0,TempDefinition_850,
860,86,0,TempDefinition_860,
870,87,0,TempDefinition_870,
880,88,0,TempDefinition_880,
890,89,0,TempDefinition_890,
900,90,0,TempDefinition_900,
910,91,0,TempDefinition_910,
920,92,0,TempDefinition_920,
930,93,0,TempDefinition_930,
940,94,0,TempDefinition_940,
950,95,0,TempDefinition_950,
960,96,0,TempDefinition_960,
970,97,0,TempDefinition_970,
980,98,0,TempDefinition_980,
990,99,0,TempDefinition_990,
1000,100,0,TempDefinition_1000,
1010,101,0,TempDefinition_1010,
1020,102,0,TempDefinition_1020,
1030,103,0,TempDefinition_1030,
1040,104,0,TempDefinition_1040,
1050,105,0,TempDefinition_1050,
1060,106,0,TempDefinition_1060,
1070,107,0,TempDefinition_1070,
1080,108,0,TempDefinition_1080,
1090,109,0,TempDefinition_1090,
1100,110,0,TempDefinition_1100,
1110,111,0,TempDefinition_1110,
1120,112,0,TempDefinition_1120,
1130,113,0,TempDefinition_1130,
1140,114,0,TempDefinition_1140,
1150,115,0,TempDefinition_1150,
1160,116,0,TempDefinition_1160,
1170,117,0,TempDefinition_1170,
1180,118,0,TempDefinition_1180,
1190,119,0,TempDefinition_1190,
1200,120,0,TempDefinition_1200,
1210,121,0,TempDefinition_1210,
1220,122,0,TempDefinition_1220,
1230,123,0,TempDefinition_1230,
1240,124,0,TempDefinition_1240,
1250,125,0,TempDefinition_1250,
1260,126,0,TempDefinition_1260,
1270,127,0,TempDefinition_1270,
1280,128,0,TempDefinition_1280,
1290,129,0,TempDefinition_1290,
1300,130,0,TempDefinition_1300,
1310,131,0,TempDefinition_1310,
1320,132,0,TempDefinition_1320,
1330,133,0,TempDefinition_1330,
1340,134,0,TempDefinition_1340,
1350,135,0,TempDefinition_1350,
1360,136,0,TempDefinition_1360,
1370,137,0,TempDefinition_1370,
1380,138,0,TempDefinition_1380,
1390,139,0,TempDefinition_1390,
1400,140,0,TempDefinition_1400,
1410,141,0,TempDefinition_1410,
1420,142,0,TempDefinition_1420,
1430,143,0,TempDefinition_1430,
1440,144,0,TempDefinition_1440,
1450,145,0,TempDefinition_1450,
1460,146,0,TempDefinition_1460,
1470,147,0,TempDefinition_1470,
1480,148,0,TempDefinition_1480,
1490,149,0,TempDefinition_1490,
1500,150,0,TempDefinition_1500,
1510,151,0,TempDefinition_1510,
1520,152,0,TempDefinition_1520,
1530,153,0,TempDefinition_1530,
1540,154,0,TempDefinition_1540,
1550,155,0,TempDefinition_1550,
1560,156,0,TempDefinition_1560,
1570,157,0,TempDefinition_1570,
1580,158,0,TempDefinition_1580,
1590,159,0,TempDefinition_1590,
1600,160,0,TempDefinition_1600,
1610,161,0,TempDefinition_1610,
1620,162,0,TempDefinition_1620,
1630,163,0,TempDefinition_1630,
1640,164,0,TempDefinition_1640,
1650,165,0,TempDefinition_1650,
