word_id,word,sense_no,definition_id
391,attitude,0,3910
392,strike,0,3920
393,disturb,0,3930
394,pervasive,0,3940
395,insect,0,3950
396,sort,0,3960
396,sort,1,3961
397,esteem,0,3970
398,opt,0,3980
399,pasture,0,3990
400,facility,0,4000
401,undertake,0,4010
402,criticise,0,4020
403,criterion,0,4030
404,devise,0,4040
405,contain,0,4050
406,superior,0,4060
407,rigorous,0,4070
408,inhibit,0,4080
409,journey,0,4090
410,appearance,0,4100
410,appearance,1,4101
411,replicate,0,4110
412,including,0,4120
413,detect,0,4130
414,civilisation,0,4140
415,demand,0,4150
415,demand,1,4151
416,resistance,0,4160
417,engage,0,4170
418,indicative,0,4180
419,contingent,0,4190
420,either,0,4200
