word_id,sense_no,definition_id,definition,part_of_speech
361,0,3610,"정통의, 진품인",a
362,0,3620,"조각된, 새겨진",a
363,0,3630,관련되어있다,v
364,0,3640,설치류,n
365,0,3650,바꾸다,v
366,0,3660,각각의,a
366,1,3661,개인의,a
367,0,3670,"너무나도 별난, 충격적인",a
368,0,3680,집중적인,a
369,0,3690,차지하다,v
369,1,3691,~를 바쁘게 하다,v
370,0,3700,가능한,a
371,0,3710,비옥한,a
372,0,3720,수습사원,n
373,0,3730,"중요한, 상당한",a
374,0,3740,정착하다,v
374,1,3741,해결결하다,v
374,2,3742,지불하다,v
375,0,3750,일상적인,a
376,0,3760,"예약, 약속",n
376,1,3761,"임명, 발령",n
377,0,3770,"주로, 크게",ad
378,0,3780,"수정하다, 변경하다",v
379,0,3790,"최악의, 큰 재앙의",a
380,0,3800,"걱정하는, 두려워하는",a
381,0,3810,쟁기,n
381,1,3811,(어려움이 있어도) 계속하다,v
382,0,3820,"물질, 실체",n
383,0,3830,가뭄,n
384,0,3840,"섬의, 섬 근처의",a
385,0,3850,"일관된, 일정한",a
385,1,3851,일치하는,a
386,0,3860,수익성이 좋은,a
387,0,3870,"묘사, 묘사법",n
388,0,3880,"불일치, 불일치성",n
389,0,3890,"괴로움을 주는, 비참한한",a
390,0,3900,오도가지도 못하게 하다,v
390,1,3901,"가닥, 분야",n
