example_id,definition_id,example_no,example_sentence
100,10,0,TempExample_100
200,20,0,TempExample_200
300,30,0,TempExample_300
400,40,0,TempExample_400
500,50,0,TempExample_500
600,60,0,TempExample_600
700,70,0,TempExample_700
800,80,0,TempExample_800
900,90,0,TempExample_900
1000,100,0,TempExample_1000
1100,110,0,TempExample_1100
1200,120,0,TempExample_1200
1300,130,0,TempExample_1300
1400,140,0,TempExample_1400
1500,150,0,TempExample_1500
1600,160,0,TempExample_1600
1700,170,0,TempExample_1700
1800,180,0,TempExample_1800
1900,190,0,TempExample_1900
2000,200,0,TempExample_2000
2100,210,0,TempExample_2100
2200,220,0,TempExample_2200
2300,230,0,TempExample_2300
2400,240,0,TempExample_2400
2500,250,0,TempExample_2500
2600,260,0,TempExample_2600
2700,270,0,TempExample_2700
2800,280,0,TempExample_2800
2900,290,0,TempExample_2900
3000,300,0,TempExample_3000
3100,310,0,TempExample_3100
3200,320,0,TempExample_3200
3300,330,0,TempExample_3300
3400,340,0,TempExample_3400
3500,350,0,TempExample_3500
3600,360,0,TempExample_3600
3700,370,0,TempExample_3700
3800,380,0,TempExample_3800
3900,390,0,TempExample_3900
4000,400,0,TempExample_4000
4100,410,0,TempExample_4100
4200,420,0,TempExample_4200
4300,430,0,TempExample_4300
4400,440,0,TempExample_4400
4500,450,0,TempExample_4500
4600,460,0,TempExample_4600
4700,470,0,TempExample_4700
4800,480,0,TempExample_4800
4900,490,0,TempExample_4900
5000,500,0,TempExample_5000
5100,510,0,TempExample_5100
5200,520,0,TempExample_5200
5300,530,0,TempExample_5300
5400,540,0,TempExample_5400
5500,550,0,TempExample_5500
5600,560,0,TempExample_5600
5700,570,0,TempExample_5700
5800,580,0,TempExample_5800
5900,590,0,TempExample_5900
6000,600,0,TempExample_6000
6100,610,0,TempExample_6100
6200,620,0,TempExample_6200
6300,630,0,TempExample_6300
6400,640,0,TempExample_6400
6500,650,0,TempExample_6500
6600,660,0,TempExample_6600
6700,670,0,TempExample_6700
6800,680,0,TempExample_6800
6900,690,0,TempExample_6900
7000,700,0,TempExample_7000
7100,710,0,TempExample_7100
7200,720,0,TempExample_7200
7300,730,0,TempExample_7300
7400,740,0,TempExample_7400
7500,750,0,TempExample_7500
7600,760,0,TempExample_7600
7700,770,0,TempExample_7700
7800,780,0,TempExample_7800
7900,790,0,TempExample_7900
8000,800,0,TempExample_8000
8100,810,0,TempExample_8100
8200,820,0,TempExample_8200
8300,830,0,TempExample_8300
8400,840,0,TempExample_8400
8500,850,0,TempExample_8500
8600,860,0,TempExample_8600
8700,870,0,TempExample_8700
8800,880,0,TempExample_8800
8900,890,0,TempExample_8900
9000,900,0,TempExample_9000
9100,910,0,TempExample_9100
9200,920,0,TempExample_9200
9300,930,0,TempExample_9300
9400,940,0,TempExample_9400
9500,950,0,TempExample_9500
9600,960,0,TempExample_9600
9700,970,0,TempExample_9700
9800,980,0,TempExample_9800
9900,990,0,TempExample_9900
10000,1000,0,TempExample_10000
10100,1010,0,TempExample_10100
10200,1020,0,TempExample_10200
10300,1030,0,TempExample_10300
10400,1040,0,TempExample_10400
10500,1050,0,TempExample_10500
10600,1060,0,TempExample_10600
10700,1070,0,TempExample_10700
10800,1080,0,TempExample_10800
10900,1090,0,TempExample_10900
11000,1100,0,TempExample_11000
11100,1110,0,TempExample_11100
11200,1120,0,TempExample_11200
11300,1130,0,TempExample_11300
11400,1140,0,TempExample_11400
11500,1150,0,TempExample_11500
11600,1160,0,TempExample_11600
11700,1170,0,TempExample_11700
11800,1180,0,TempExample_11800
11900,1190,0,TempExample_11900
12000,1200,0,TempExample_12000
12100,1210,0,TempExample_12100
12200,1220,0,TempExample_12200
12300,1230,0,TempExample_12300
12400,1240,0,TempExample_12400
12500,1250,0,TempExample_12500
12600,1260,0,TempExample_12600
12700,1270,0,TempExample_12700
12800,1280,0,TempExample_12800
12900,1290,0,TempExample_12900
13000,1300,0,TempExample_13000
13100,1310,0,TempExample_13100
13200,1320,0,TempExample_13200
13300,1330,0,TempExample_13300
13400,1340,0,TempExample_13400
13500,1350,0,TempExample_13500
13600,1360,0,TempExample_13600
13700,1370,0,TempExample_13700
13800,1380,0,TempExample_13800
13900,1390,0,TempExample_13900
14000,1400,0,TempExample_14000
14100,1410,0,TempExample_14100
14200,1420,0,TempExample_14200
14300,1430,0,TempExample_14300
14400,1440,0,TempExample_14400
14500,1450,0,TempExample_14500
14600,1460,0,TempExample_14600
14700,1470,0,TempExample_14700
14800,1480,0,TempExample_14800
14900,1490,0,TempExample_14900
15000,1500,0,TempExample_15000
15100,1510,0,TempExample_15100
15200,1520,0,TempExample_15200
15300,1530,0,TempExample_15300
15400,1540,0,TempExample_15400
15500,1550,0,TempExample_15500
15600,1560,0,TempExample_15600
15700,1570,0,TempExample_15700
15800,1580,0,TempExample_15800
15900,1590,0,TempExample_15900
16000,1600,0,TempExample_16000
16100,1610,0,TempExample_16100
16200,1620,0,TempExample_16200
16300,1630,0,TempExample_16300
16400,1640,0,TempExample_16400
16500,1650,0,TempExample_16500
16600,1660,0,TempExample_16600
16700,1670,0,TempExample_16700
16800,1680,0,TempExample_16800
16900,1690,0,TempExample_16900
17000,1700,0,TempExample_17000
17100,1710,0,TempExample_17100
17200,1720,0,TempExample_17200
17300,1730,0,TempExample_17300
17400,1740,0,TempExample_17400
17500,1750,0,TempExample_17500
17600,1760,0,TempExample_17600
17700,1770,0,TempExample_17700
17800,1780,0,TempExample_17800
17900,1790,0,TempExample_17900
18000,1800,0,TempExample_18000
18100,1810,0,TempExample_18100
18200,1820,0,TempExample_18200
18300,1830,0,TempExample_18300
18400,1840,0,TempExample_18400
18500,1850,0,TempExample_18500
18600,1860,0,TempExample_18600
18700,1870,0,TempExample_18700
18800,1880,0,TempExample_18800
18900,1890,0,TempExample_18900
19000,1900,0,TempExample_19000
19100,1910,0,TempExample_19100
19200,1920,0,TempExample_19200
19300,1930,0,TempExample_19300
19400,1940,0,TempExample_19400
19500,1950,0,TempExample_19500
19600,1960,0,TempExample_19600
19700,1970,0,TempExample_19700
19800,1980,0,TempExample_19800
19900,1990,0,TempExample_19900
20000,2000,0,TempExample_20000
20100,2010,0,TempExample_20100
20200,2020,0,TempExample_20200
20300,2030,0,TempExample_20300
20400,2040,0,TempExample_20400
20500,2050,0,TempExample_20500
20600,2060,0,TempExample_20600
20700,2070,0,TempExample_20700
20800,2080,0,TempExample_20800
20900,2090,0,TempExample_20900
21000,2100,0,TempExample_21000
21100,2110,0,TempExample_21100
21200,2120,0,TempExample_21200
21300,2130,0,TempExample_21300
21400,2140,0,TempExample_21400
21500,2150,0,TempExample_21500
21600,2160,0,TempExample_21600
21700,2170,0,TempExample_21700
21800,2180,0,TempExample_21800
21900,2190,0,TempExample_21900
22000,2200,0,TempExample_22000
22100,2210,0,TempExample_22100
22200,2220,0,TempExample_22200
22300,2230,0,TempExample_22300
22400,2240,0,TempExample_22400
22500,2250,0,TempExample_22500
22600,2260,0,TempExample_22600
22700,2270,0,TempExample_22700
22800,2280,0,TempExample_22800
22900,2290,0,TempExample_22900
23000,2300,0,TempExample_23000
23100,2310,0,TempExample_23100
23200,2320,0,TempExample_23200
23300,2330,0,TempExample_23300
23400,2340,0,TempExample_23400
23500,2350,0,TempExample_23500
23600,2360,0,TempExample_23600
23700,2370,0,TempExample_23700
23800,2380,0,TempExample_23800
23900,2390,0,TempExample_23900
24000,2400,0,TempExample_24000
24100,2410,0,TempExample_24100
24200,2420,0,TempExample_24200
24300,2430,0,TempExample_24300
24400,2440,0,TempExample_24400
24500,2450,0,TempExample_24500
24600,2460,0,TempExample_24600
24700,2470,0,TempExample_24700
24800,2480,0,TempExample_24800
24900,2490,0,TempExample_24900
25000,2500,0,TempExample_25000
25100,2510,0,TempExample_25100
25200,2520,0,TempExample_25200
25300,2530,0,TempExample_25300
25400,2540,0,TempExample_25400
25500,2550,0,TempExample_25500
25600,2560,0,TempExample_25600
25700,2570,0,TempExample_25700
25800,2580,0,TempExample_25800
25900,2590,0,TempExample_25900
26000,2600,0,TempExample_26000
26100,2610,0,TempExample_26100
26200,2620,0,TempExample_26200
26300,2630,0,TempExample_26300
26400,2640,0,TempExample_26400
26500,2650,0,TempExample_26500
26600,2660,0,TempExample_26600
26700,2670,0,TempExample_26700
26800,2680,0,TempExample_26800
26900,2690,0,TempExample_26900
27000,2700,0,TempExample_27000
27100,2710,0,TempExample_27100
27200,2720,0,TempExample_27200
27300,2730,0,TempExample_27300
27400,2740,0,TempExample_27400
27500,2750,0,TempExample_27500
27600,2760,0,TempExample_27600
27700,2770,0,TempExample_27700
27800,2780,0,TempExample_27800
27900,2790,0,TempExample_27900
28000,2800,0,TempExample_28000
28100,2810,0,TempExample_28100
28200,2820,0,TempExample_28200
