word_id,day_no,word_no,word
1,1,1,avert
2,1,2,immediate
3,1,3,appreciate
4,1,4,party
5,1,5,regarding
6,1,6,harm
7,1,7,objective
8,1,8,mammal
9,1,9,critical
10,1,10,precious
11,1,11,obstacle
12,1,12,commission
13,1,13,tackle
14,1,14,conceal
15,1,15,conflict
16,1,16,gather
17,1,17,livestock
18,1,18,advanced
19,1,19,keen
20,1,20,derelict
21,1,21,evoke
22,1,22,attention
23,1,23,concession
24,1,24,set aside
25,1,25,replace
26,1,26,ought
27,1,27,query
28,1,28,scheme
29,1,29,fort
30,1,30,fabulous
31,2,1,hierarchy
32,2,2,struggle
33,2,3,vivid
34,2,4,explosive
35,2,5,attribute
36,2,6,controlled
37,2,7,costly
38,2,8,infest
39,2,9,require
40,2,10,restriction
41,2,11,distinguish
42,2,12,fatal
43,2,13,efficiency
44,2,14,equivalent
45,2,15,domestic
46,2,16,intuitive
47,2,17,aggravate
48,2,18,convert
49,2,19,suffer
50,2,20,encounter
51,2,21,abundant
52,2,22,assess
53,2,23,assemble
54,2,24,rely
55,2,25,classify
56,2,26,aspiration
57,2,27,merely
58,2,28,decline
59,2,29,enable
60,2,30,regardless of
61,3,1,entice
62,3,2,establish
63,3,3,pose
64,3,4,threat
65,3,5,pupil
66,3,6,reveal
67,3,7,eradicate
68,3,8,inspire
69,3,9,continent
70,3,10,motivate
71,3,11,behave
72,3,12,sceptical
73,3,13,artificial
74,3,14,fascinate
75,3,15,effect
76,3,16,damage
77,3,17,administer
78,3,18,practice
79,3,19,beneficial
80,3,20,invariably
81,3,21,robust
82,3,22,due
83,3,23,smuggle
84,3,24,fossilise
85,3,25,risk
86,3,26,permanent
87,3,27,cope with
88,3,28,destroy
89,3,29,subsequent
90,3,30,last
91,4,1,deliberate
92,4,2,odour
93,4,3,predator
94,4,4,intertwine
95,4,5,seek
96,4,6,promote
97,4,7,crucial
98,4,8,shelter
99,4,9,archaeology
100,4,10,indigenous
101,4,11,voluntary
102,4,12,rainfall
103,4,13,property
104,4,14,retrieval
105,4,15,certain
106,4,16,capture
107,4,17,subsidiary
108,4,18,abandon
109,4,19,evolutionary
110,4,20,award
111,4,21,habitat
112,4,22,sufficient
113,4,23,escape
114,4,24,allow
115,4,25,hindsight
116,4,26,oppose
117,4,27,determined
118,4,28,vulnerable
119,4,29,presume
120,4,30,apply
121,5,1,ascent
122,5,2,extensive
123,5,3,infant
124,5,4,rewarding
125,5,5,foster
126,5,6,numerous
127,5,7,rate
128,5,8,hypothesis
129,5,9,principle
130,5,10,distinct from
131,5,11,no longer
132,5,12,maintenance
133,5,13,retain
134,5,14,judge
135,5,15,compose
136,5,16,accompany
137,5,17,propound
138,5,18,evolve
139,5,19,status
140,5,20,blast
141,5,21,commercial
142,5,22,chronological
143,5,23,merge
144,5,24,available
145,5,25,descend
146,5,26,adapt
147,5,27,immense
148,5,28,harsh
149,5,29,irresistible
150,5,30,strinct
151,6,1,emerge
152,6,2,benefit
153,6,3,perplex
154,6,4,herd
155,6,5,civil
156,6,6,halt
157,6,7,obtain
158,6,8,breeding
159,6,9,apart from
160,6,10,secure
161,6,11,disabled
162,6,12,marginalise
163,6,13,affect
164,6,14,involve
165,6,15,drain
166,6,16,profound
167,6,17,obvious
168,6,18,irrigation
169,6,19,exaggerate
170,6,20,steadily
171,6,21,cultivation
172,6,22,melt
173,6,23,mimic
174,6,24,edible
175,6,25,alert
176,6,26,feed
177,6,27,means
178,6,28,instrusion
179,6,29,hollow
180,6,30,distribution
181,7,1,rarely
182,7,2,aid
183,7,3,sustain
184,7,4,initial
185,7,5,precise
186,7,6,penetrate
187,7,7,flexible
188,7,8,arrangement
189,7,9,inherently
190,7,10,estrangement
191,7,11,seriously
192,7,12,official
193,7,13,isolated
194,7,14,accept
195,7,15,acclaim
196,7,16,underestimate
197,7,17,populated
198,7,18,dependent
199,7,19,eruption
200,7,20,virtually
201,7,21,severe
202,7,22,capacity
203,7,23,vertical
204,7,24,erosion
205,7,25,deficit
206,7,26,remains
207,7,27,eager
208,7,28,entire
209,7,29,charge
210,7,30,irritation
211,8,1,infection
212,8,2,identify
213,8,3,underlying
214,8,4,prospective
215,8,5,inhospitable
216,8,6,ancestor
217,8,7,variation
218,8,8,issue
219,8,9,remote
220,8,10,independently
221,8,11,scrutiny
222,8,12,stimulate
223,8,13,implement
224,8,14,own
225,8,15,regard
226,8,16,enormous
227,8,17,manifest
228,8,18,earn
229,8,19,pioneer
230,8,20,entitle
231,8,21,arguably
232,8,22,apparently
233,8,23,adequate
234,8,24,rule
235,8,25,grant
