Id,VocabularyId,part_of_speech,definition,DisplayOrder
1,1,v,조화시키다,1
2,2,v,속해있다,2
3,3,n,기생물,3
4,4,v,"책임을 지우다, 비난하다",4
5,5,n,"이주, 이민",5
6,6,v,좌절시키다,6
7,7,v,"동시에 일어나다, 일치하다",7
8,8,n,노출,8
9,9,ad,"그렇게 함으로써, 그로인해",9
10,10,n,생물,10
11,11,n,"종, 인종, 민족",11
12,12,n,경주,12
13,13,a,불가피한,13
14,14,a,"고안된, 설계된",14
15,15,a,"합법적인, 정당한",15
16,16,a,"신뢰할 수 있는, 확실한",16
17,17,a,"의도적인, 자각하고 있는",17
18,17,v,우려하다,18
19,17,v,"관련되다, 관련되어있다",19
20,17,v,"관심있다, 중시하다",20
21,18,a,되돌릴 수 없는,21
22,19,n,유물,22
23,20,n,감금,23
24,21,n,시도,24
25,21,v,시도하다,25
26,22,v,"장려하다, 촉진하다",26
27,23,n,세포,27
28,24,v,낮추다,28
29,24,a,더 낮은,29
30,25,a,"도전적인, 힘든",30
31,26,n,"확신, 신념",31
32,27,a,교육을 받은,32
33,28,a,정확한,33
34,29,n,"복도, 통로",34
35,30,n,"덩어리, 질량",35
36,30,n,대중,36
37,30,a,"대량의, 대중의",37
38,119,v,"드러내다, 드러나다",0
39,120,n,"이익, 수당",0
40,120,v,도움이 되다,0
41,121,v,당황하게 하다,0
42,122,n,"떼, 무리, 사람들",0
43,123,a,"시민의, 문명의",0
44,124,n,중단,0
45,124,v,중단 시키다,0
46,125,null,"얻다, 획득하다",0
47,126,n,"사육, 번식",0
48,127,null,"~을 제외하고, ~뿐만 아니라",0
49,128,v,확보하다,0
50,128,v,안심하는,0
51,129,a,장애를 가진,0
52,130,v,(사회에서) 소외하다,0
53,131,v,영향을 미치다,0
54,132,v,포함하다,0
55,132,v,참여시키다,0
56,132,v,열중 시키다,0
57,133,v,액체가 빠지다,0
58,133,v,소모하다,0
59,134,a,엄청난,0
60,135,null,"분명한, 명백한",0
61,136,n,관개,0
62,137,v,과장하다,0
63,138,a,안정적으로,0
64,139,n,경작,0
65,140,v,녹다,0
66,141,null,"모방하다, 흉내내다",0
67,142,a,먹을 수 있는,0
68,143,null,경고하다,0
69,143,v,"알리다, 알림",0
70,144,v,"먹이를 주다, 공급하다",0
71,145,n,"수단, 방법",0
72,146,null,"침입, 방해",0
73,147,a,속이 비어 있는,0
74,148,null,"분배, 유통",0
75,149,null,거의 ~ 않는,0
76,150,null,돕다,0
77,150,null,돕다,0
78,151,null,유지하다,0
79,152,null,"처음의, 최초의",0
80,153,null,정확한,0
81,154,v,관통하다,0
82,154,v,"간파하다, 이해하다",0
83,155,null,유연한,0
84,156,null,"준비, 주선",0
85,157,null,"선천적으로, 본질적으로",0
86,158,null,관계의 소원,0
87,159,null,"심각하게, 진지하게",0
88,160,a,공식적인,0
89,160,n,"공무원, 관리",0
90,161,a,"고립된, 외딴",0
91,162,null,받아들이다,0
92,163,v,"환호하다, 칭송하다, 인정하다",0
93,163,n,"찬사, 인정",0
94,164,v,과소평가하다,0
95,165,a,"거주중인, 살고 있는",0
96,166,a,"좌우되는, 의존적인",0
97,167,n,"분출, 화산의 폭발",0
98,168,ad,"거의, 사실상",0
99,169,null,"심각한, 극심한",0
100,170,n,최대 수용량,0
101,171,null,수직의,0
102,172,n,침식,0
103,173,null,"부족, 결함, 적자",0
104,174,n,"남은것, 유적, 유해, 유물",0
105,175,null,"열렬한, 열망하는",0
106,176,null,전체의,0
107,177,v,"요금을 청구하다,To increase monthly bills",0
108,177,n,요금,0
109,178,n,"피부 자극, 짜증",0
110,209,null,정기 간행물,0
111,210,null,(정교하게) 복잡한,0
112,211,null,납작하게 만들다.,0
113,212,null,"완전히, 전부",0
114,213,v,"가두다, 몰아넣다",0
115,213,n,"덫, 함정",0
116,214,null,"직업의, 직업과 관련된",0
117,215,null,(새로운) 말을 만들다.,0
118,216,null,"요구가 많은, 힘든",0
119,217,a,"놀랄 만한, 주목할 만한",0
120,218,v,"붙잡다, 장악하다",0
121,219,n,"계획, 사업",0
122,220,n,평가,0
123,221,null,"착취하다, (부당하게) 이용하다, 개발하다",0
124,222,null,추출하다,0
125,223,null,"괴롭히다, 시달리다",0
126,224,null,축축한,0
127,225,n,"수치,The annual sales figures show that the electric truck is a considerable success.""",0
128,225,v,~일 것이라고 생각하다,0
129,226,n,"제공, 공급품",0
130,227,v,식민지로 만들다,0
131,228,n,위험,0
132,229,null,"전송하다, 전염시키다",0
133,230,v,(필수로)수반하다,0
134,231,null,"(위치에) 두다,Fresh spring water sources are located along the trail.""",0
135,231,v,(정확한 위치를) 찾아내다,0
136,232,n,농업,0
137,233,null,"지지하다, 승인하다",0
138,234,null,증거,0
139,235,null,적절한,0
140,236,null,기밀의,0
141,237,null,"결정적으로, 확실하게",0
142,238,ad,"대신에, 오히려",0
143,238,ad,꽤,0
144,239,v,"피하다, 막다",0
145,240,a,"즉각적인, 직접적인",0
146,241,v,"진가를 인정하다, 감사해하다",0
147,241,v,상황이나 문제점을 완전히 인식하다,0
148,242,n,"일행, 무리, 정당",0
149,243,null,"~관하여, ~관한",0
150,244,v,해를 끼치다,0
151,244,n,"피해, 손해",0
152,245,n,"목적, 목표",0
153,245,a,객관적인,0
154,246,n,포유 동물,0
155,247,a,잠재적으로 대단히 중요한,0
156,248,a,"귀한, 값 비싼",0
157,249,n,장애물,0
158,250,n,"의뢰, 위탁된 일을 맡은",0
159,251,v,해결하다,0
160,252,v,감추다 숨기다,0
161,253,n,"갈등, 충돌",0
162,254,v,모으다,0
163,255,n,가축,0
164,256,a,"고도의, 상급의, 선진의",0
165,257,a,열을 올리고 있는,0
166,258,a,버려진,0
167,259,v,유발하다,0
168,260,n,"주의, 주목, 관심",0
169,261,n,양보,0
170,261,n,할인,0
171,262,v,"나중을 위해 치워두다, 따로두다",0
172,263,v,대체하다,0
173,264,v,"~해야하다, ~을 할 의무가 있다",0
174,265,n,"질문, 문의",0
175,266,n,"계획, 제도",0
176,267,n,요새,0
177,268,a,기막히게 멋진,0
178,269,null,"멸종된, 사라진",0
179,270,null,"특정한, 특별한",0
180,270,null,"상세, 자세한 사실",0
181,271,null,"일어나다, 발생하다",0
182,272,null,"정도, 규모",0
183,273,null,"좌우하다, 운영하다",0
184,274,null,"추론, 논리, 이유",0
185,275,null,유사하다,0
186,276,null,인정,0
187,276,null,"인식, 알아 봄",0
188,277,null,"높이다, 향상시키다",0
189,278,null,"기근, 굶주림",0
190,279,null,(건물의) 층,0
191,280,null,목표,0
192,280,null,"목표로 하다, 대상으로 하다",0
193,281,null,장소,0
194,282,null,초과하다,0
195,283,null,"돌파구, (획기적인) 발전",0
196,284,null,경쟁을 하는,0
197,284,null,"경쟁력 있는, (가성비에서)뒤지지 않는",0
198,285,null,~하는 동안,0
199,286,null,"시작하다, 착수하다",0
200,287,null,"해내다, 이루다",0
201,288,null,표시하다,0
202,288,null,줄거리를 구상하다,0
203,288,null,"(작은 구획의) 땅, 토지",0
204,289,null,핵심,0
205,290,null,"긴축, 경비 절감",0
206,291,null,"우세한, 지배적인",0
207,292,null,의무,0
208,293,null,"가장 알맞은, 이상적인",0
209,294,null,의식하지 못하는,0
210,295,null,"맥락, 정황, 배경",0
211,296,null,중요하다,0
212,296,null,(처리해야 할)문제,0
213,297,null,불가분하게,0
214,298,null,"(필름이나 실, 전성 등을 감는 원통형의) 릴, 실패",0
215,299,n,부러움,0
216,300,n,파충류,0
217,301,a,왜곡된,0
218,302,a,널리 퍼진,0
219,303,v,"성공하다, 해내다",0
220,303,n,성공,0
221,304,v,겁을 주다,0
222,305,a,"뚜렷한, 표시되어 있는",0
223,306,adv,적절하게,0
224,307,n,"폭로, 드러냄",0
225,308,a,"(특정시기에) 우세한, 지배적인",0
226,309,n,특징,0
227,309,n,특징,0
228,310,n,대출,0
229,311,v,피하다,0
230,312,v,기인하다,0
231,313,v,차지하다,0
232,314,adv,"대단히, 극도로",0
233,315,a,자격이 있는,0
234,316,a,구체적인,0
235,316,n,콘크리트,0
236,317,v,타협하다,0
237,317,v,하다,0
238,318,n,"부족, 결핍",0
239,318,v,부족하다,0
240,319,a,상당한,0
241,320,v,"언급하다, 연관되다",0
242,321,v,"복종하다, 따르다",0
243,322,v,소유하다,0
244,323,a,"보통의, 일상적인",0
245,324,a,즉각적인,0
246,324,v,(행동을) 촉발하다,0
247,324,n,(대사를 일러주는 말),0
248,325,v,비난하다,0
249,326,n,"침략, 쇄도",0
250,327,v,"거부하다, 거절하다",0
251,328,null,~하도록,0
